                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1641,                 1.7719,                 1.2519,                0.79404,                0.82453,                0.85228,                0.62428,                0.94192,                0.56489,                 1.2165,             9.4922e-05,             9.4922e-05,             9.4922e-05
                      2,                 1.0095,                 0.7882,                 1.1505,                 0.8521,                0.87979,                0.91408,                0.67227,                0.94409,                 0.4718,                 1.2208,             0.00018649,             0.00018649,             0.00018649
                      3,                0.99712,                0.70571,                 1.1553,                0.91552,                0.88096,                0.93086,                0.68536,                 0.9225,                0.44355,                 1.2324,             0.00027428,             0.00027428,             0.00027428
                      4,                0.98803,                0.65916,                 1.1486,                  0.913,                0.91413,                0.95245,                 0.7125,                0.91598,                0.43914,                 1.2157,             0.00026901,             0.00026901,             0.00026901
                      5,                0.96901,                0.62717,                 1.1402,                0.88952,                0.95044,                0.95352,                0.72194,                0.89941,                0.40445,                 1.2172,             0.00026901,             0.00026901,             0.00026901
                      6,                0.95923,                0.60831,                 1.1347,                 0.9173,                 0.9443,                0.95878,                0.71515,                0.91246,                0.40466,                 1.2267,             0.00026335,             0.00026335,             0.00026335
                      7,                0.95199,                0.58451,                 1.1313,                0.88905,                0.94835,                 0.9432,                0.71598,                0.88339,                0.38421,                 1.2076,             0.00025769,             0.00025769,             0.00025769
                      8,                0.94775,                0.56912,                 1.1272,                0.89459,                0.95024,                0.96823,                0.73676,                0.89021,                0.37542,                 1.2088,             0.00025202,             0.00025202,             0.00025202
                      9,                 0.9322,                0.55799,                  1.125,                0.93575,                 0.8908,                0.94596,                0.71435,                0.89546,                0.37309,                 1.2114,             0.00024636,             0.00024636,             0.00024636
                     10,                 0.9313,                0.54892,                 1.1199,                0.95852,                0.91586,                0.94902,                0.72287,                 0.8885,                0.36882,                 1.2056,              0.0002407,              0.0002407,              0.0002407
                     11,                0.92489,                0.53291,                   1.12,                0.92274,                 0.9708,                0.95129,                0.73284,                0.86891,                0.35285,                 1.1942,             0.00023503,             0.00023503,             0.00023503
                     12,                0.92913,                0.53405,                 1.1241,                 0.9429,                0.94512,                0.96163,                0.74909,                0.86555,                 0.3477,                 1.1911,             0.00022937,             0.00022937,             0.00022937
                     13,                 0.9235,                0.52593,                 1.1186,                0.93844,                0.94837,                 0.9584,                0.73708,                0.87074,                0.34231,                 1.2002,             0.00022371,             0.00022371,             0.00022371
                     14,                0.91283,                0.51155,                 1.1105,                0.92128,                0.96743,                0.96459,                0.74346,                0.87966,                0.34447,                 1.2052,             0.00021805,             0.00021805,             0.00021805
                     15,                0.91415,                0.50965,                  1.113,                0.90728,                  0.978,                0.95097,                0.73121,                0.88213,                0.35117,                 1.1978,             0.00021238,             0.00021238,             0.00021238
                     16,                0.90778,                0.50371,                 1.1139,                 0.9416,                0.95888,                0.97051,                0.75049,                0.86135,                0.33601,                 1.1858,             0.00020672,             0.00020672,             0.00020672
                     17,                0.90496,                0.49877,                 1.1074,                0.95499,                 0.9419,                0.95028,                0.73729,                  0.858,                0.33557,                 1.1842,             0.00020106,             0.00020106,             0.00020106
                     18,                0.90287,                0.49937,                 1.1074,                0.96531,                0.93796,                0.95509,                0.73415,                0.87493,                0.33713,                 1.1923,              0.0001954,              0.0001954,              0.0001954
                     19,                0.90216,                0.48835,                 1.1075,                0.95666,                0.93975,                0.95057,                0.73844,                0.85802,                0.33173,                 1.1823,             0.00018973,             0.00018973,             0.00018973
                     20,                0.89484,                0.47904,                 1.1006,                0.97163,                0.93687,                0.95365,                0.73801,                0.87919,                0.33729,                 1.1997,             0.00018407,             0.00018407,             0.00018407
                     21,                0.89025,                0.47783,                 1.0994,                 0.9656,                0.94416,                0.95316,                0.74412,                 0.8597,                0.32237,                 1.1873,             0.00017841,             0.00017841,             0.00017841
                     22,                 0.8901,                0.47657,                 1.0967,                0.92341,                0.96568,                0.95066,                0.74173,                0.86263,                0.32418,                 1.1894,             0.00017274,             0.00017274,             0.00017274
                     23,                0.88222,                0.47062,                 1.0923,                 0.9301,                 0.9521,                0.95874,                0.74952,                0.85708,                0.32725,                 1.1798,             0.00016708,             0.00016708,             0.00016708
                     24,                0.88222,                0.46597,                 1.0969,                0.96966,                0.94295,                0.95258,                0.74548,                0.86087,                 0.3164,                 1.1816,             0.00016142,             0.00016142,             0.00016142
                     25,                0.87501,                0.45784,                  1.094,                0.96643,                0.94051,                0.95157,                0.74437,                0.86012,                 0.3129,                  1.188,             0.00015576,             0.00015576,             0.00015576
