                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54928,                0.36375,                0.96141,                0.99196,                0.98565,                0.99462,                0.90102,                0.49295,                 0.2952,                0.92285,             0.00065409,             0.00065409,             0.00065409
                      2,                0.61752,                0.39904,                 1.0024,                0.97161,                0.98265,                0.99414,                0.88217,                0.51256,                0.33626,                0.94466,              0.0012554,              0.0012554,              0.0012554
                      3,                0.61251,                0.41458,                0.99729,                0.89325,                0.95215,                0.95456,                0.79758,                0.63288,                0.50997,                 1.0139,              0.0017907,              0.0017907,              0.0017907
                      4,                0.67429,                0.43775,                 1.0217,                0.95787,                0.94737,                0.98807,                0.84405,                0.59166,                 0.4236,                 1.0233,               0.001703,               0.001703,               0.001703
                      5,                0.68103,                0.45981,                 1.0512,                0.97108,                0.96402,                0.99211,                0.86424,                0.56202,                0.37936,                0.99118,               0.001703,               0.001703,               0.001703
                      6,                0.64422,                0.43005,                0.99864,                0.98384,                0.96651,                0.99268,                0.87168,                0.55816,                0.36012,                0.98173,               0.001604,               0.001604,               0.001604
                      7,                0.64721,                0.42995,                 1.0173,                0.98824,                0.98565,                0.99419,                0.87453,                 0.5384,                0.36748,                0.94876,               0.001505,               0.001505,               0.001505
                      8,                0.65665,                0.41674,                 1.0073,                0.98959,                0.97608,                0.99399,                0.89636,                 0.4914,                0.30265,                0.93394,               0.001406,               0.001406,               0.001406
                      9,                0.62117,                0.40857,                 1.0055,                0.97901,                0.99043,                0.99437,                0.87111,                0.53392,                 0.3217,                0.95319,               0.001307,               0.001307,               0.001307
                     10,                 0.6318,                0.39752,                0.99168,                0.98552,                0.97669,                0.99415,                0.87771,                0.49577,                0.32919,                0.92864,               0.001208,               0.001208,               0.001208
                     11,                0.53711,                0.33247,                0.94536,                0.98557,                0.98055,                0.99438,                0.89277,                0.50278,                0.32469,                0.93257,               0.001109,               0.001109,               0.001109
                     12,                 0.5193,                0.32944,                0.93521,                0.98739,                0.99522,                0.99476,                0.90149,                0.47542,                0.29672,                 0.9144,                0.00101,                0.00101,                0.00101
                     13,                 0.5083,                0.31967,                0.92651,                0.98108,                 0.9922,                0.99443,                0.91131,                0.46394,                0.29884,                0.90194,               0.000911,               0.000911,               0.000911
                     14,                0.48881,                0.29746,                0.89558,                0.99523,                0.99784,                0.99495,                0.91494,                 0.4459,                0.27506,                0.89647,               0.000812,               0.000812,               0.000812
                     15,                0.47952,                0.28244,                0.90378,                 0.9869,                0.99522,                0.99402,                0.91784,                0.43689,                0.27079,                 0.8851,               0.000713,               0.000713,               0.000713
                     16,                0.47843,                0.27233,                0.88879,                      1,                0.99407,                  0.995,                0.92777,                0.41767,                0.24778,                0.87712,               0.000614,               0.000614,               0.000614
                     17,                0.45791,                0.26847,                0.88751,                0.99215,                      1,                0.99476,                0.92348,                0.44802,                0.25388,                0.89511,               0.000515,               0.000515,               0.000515
                     18,                0.48635,                0.27045,                0.88484,                0.99052,                0.99951,                0.99471,                0.92502,                0.43066,                0.25573,                0.87505,               0.000416,               0.000416,               0.000416
                     19,                 0.4493,                0.25824,                0.87932,                0.99334,                      1,                  0.995,                0.93814,                0.40015,                0.22995,                0.86458,               0.000317,               0.000317,               0.000317
                     20,                0.42426,                0.23928,                0.85396,                0.99387,                      1,                0.99495,                0.93434,                0.39819,                0.22897,                0.86261,               0.000218,               0.000218,               0.000218
